Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Middle East & North Africa,MEA,"9,333695583","72,0352","93,45875","40,74462891","1,224529048","97,129694","7444,62129","19,4","73,621","1,2407","2,062393",,119982,
Mexico,MEX,"3,48","60,60115","71,7663","43,04413986","-0,19904777","99,6","10145,1526","14,9","76,156","1,7356","2,349177",,-47764,"6,09"
Marshall Islands,MHL,,"27,9233","36,40225","41,47465134","10,83921368","96,7599869","5188,97111","27,3","71,865","1,3215","17,92634",,-1901,
Middle income,MIC,"5,772229193","67,65705","90,082475","36,55432892","4,000397397","93,4949232","5433,45843","4,4","77,90488","7,7689","16,76115",,-3321066,
North Macedonia,MKD,"17,39",0,"46,651","39,73989868","3,910419538",100,"6070,38805","3,4","81,67561","4,3324","16,13034",683,-987,"5,97"
Mali,MLI,"1,619","30,795025","58,21025","4,734406471","4,756160808","47,8547897","840,175746",..,"79,063",..,"12,32394",,-44428,"4,92"
Malta,MLT,"3,62","67,8504","74,23565","58,53686905","7,00882545",100,"31506,5568","6,1","80,99","31,8772","446,4286",,11247,"7,95"
Myanmar,MMR,"0,41","44,999675","48,898625",,"6,750460146","68,3115005","1295,20149",7,"75,60732","3,8171","15,13922",,-100810,"3,55"
Middle East & North Africa (excluding high income),MNA,"10,92946844","69,755675","92,98975","38,48706818","1,023238977","96,6493667","3475,85917","5,8","73,0839","11,7972","1,503247",,-44693,
Montenegro,MNE,"15,13","67,11605","94,96065","54,96417999","4,062944992","99,9622803","8909,65334","42,1","66,437","0,1131","6,421053",250,-1636,"5,65"
Mongolia,MNG,"5,443",0,"97,3473","63,41836929","5,602244219","98,9232559","4394,94715","17,5","72,157","1,3152",..,1814,10664,"6,5"
Northern Mariana Islands,MNP,,0,0,,"-11,3207547",100,"23687,2719","1,9",..,..,..,,-806,
Mozambique,MOZ,"3,465","4,819575","91,52095","7,301475048","2,314442594","29,6864433","508,163404","17,1","68,523","0,6533","1,876147",,-17639,"3,65"
Mauritania,MRT,"10,402","27,90115","57,627725","5,869890213","5,296637357","44,9479294","1839,96278","7,3","77,304","14,7030","974,1667",728,-3018,"3,92"
