Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
"Iran, Islamic Rep.",IRN,"12,62","80,1727","99,7095","69,18332672","8,815086643","99,95","5497,24323","86,3","60,416","0,297038","0,07295",8576,23759,"2,34"
Iraq,IRQ,"10,82",,,,"13,78737302","99,6540985","4305,2027","12,8","71,756","7,751239","817,1429",,-75580,"4,08"
Iceland,ISL,"2,98","89,9894","99,4544","74,70063019","6,303687107",100,"61987,9264",..,"82,25853659","3,984106",..,,4113,"9,5"
Israel,ISR,"4,8","98,5808","96,7332","60,4474411","4,521680309",100,"37690,474","4,7","74,67073171","3,905927","1,991591","1340,105",13263,"7,85"
Italy,ITA,"11,69","95,0794","96,007","61,35678864","1,293462732",100,"30960,7315","2,8","82,68536585","15,19878","4,44","16788,3",49591,"7,98"
Jamaica,JAM,"8,63","72,6663","84,0571",,"1,375223064","96,5848465","5022,70333",..,"84,231",..,..,,-11329,"7,39"
Jordan,JOR,"15,28",,"76,7578","31,6559906","1,994180849","99,951828","4003,40475","65,8","64,997","0,124764","3,993323",,49192,"3,96"
Japan,JPN,"3,13",,,"63,18722916","0,753826746",100,"39375,4732","53,5","62,209","0,070297","8,406444",,156993,"7,99"
Kazakhstan,KAZ,"4,96","98,6686","87,3628","48,68696976","1,1",100,"7714,84184","8,2","75,289","7,348421","1,129655",15529,-7445,"3,06"
Kenya,KEN,"2,76",,,"11,70067978","4,213517068","53,1","1562,07661",9,"79,872","3,227063","15,66667",,-29727,"5,33"
Kyrgyz Republic,KGZ,"3,483","82,1848","89,3643","43,40132141","4,335855917","99,71","1120,66706","112,4","58,731","0,182277","8,643333",424,-25279,"4,93"
Cambodia,KHM,"0,72",,"92,759",,"6,933313973","68,7621994","1281,10597","6,5","82,45365854","2,969764","82,9703",,-40577,"4,27"
Kiribati,KIR,,,"97,4759",,"-0,478196755","92,5697098","1506,23103","34,6","64,057","3,031306",..,,-838,
St. Kitts and Nevis,KNA,,"98,0026","93,7852",,"3,930004683",100,"21095,254","47,4","64,768","0,637776","337,05",,-191,
"Korea, Rep.",KOR,"3,65","98,1456","96,8618","93,65772247","2,946881715",100,"29288,8704","14,6","74,39487805","3,193282","22,53726",4071,102075,"7,92"
Kuwait,KWT,"2,16",,"90,6136","57,78276062","2,925868226",100,"27026,6482","15,7","74,412","3,920323","21,16797",,-90785,"3,85"
Latin America & Caribbean (excluding high income),LAC,"7,943972151","77,2459","93,7016","47,41252136","-0,296832951","97,3020359","7912,27909","29,2","71,595","1,338185",..,,78679,
